Completed,Is_New,Mission_ID,Mode_Group,Campaign,Campaign_Expires,Campaign_Deadline_KST,Campaign_Deadline_ISO,Mission_Name,Starting_XI,Performer_Candidates,Goals,Assists,Other_Actions,Results,Min_Matches,Per_Match,Difficulty,Reward,Raw_Description,Source_URL
,No,O003-01,Any Ultimate Team mode,Silver TOTS HM Valentin Atangana - EA SPORTS FC 26 Objectives,Expires in 6 days,5/14 02:00,2026-05-14T02:00+09:00,Play 2,ROSHN Saudi League ≥1,-,-,-,-,Play 2,2,No,,100 SP / Coin Boost,Play 2 matches in any Ultimate Team Game mode while having Min. 1 player from the ROSHN Saudi League in your starting 11.,https://www.fut.gg/objectives/campaigns/884-silver-tots-hm-valentin-atangana/
,No,O003-02,Squad Battles / Rivals / Champions / Live Events,Silver TOTS HM Valentin Atangana - EA SPORTS FC 26 Objectives,Expires in 6 days,5/14 02:00,2026-05-14T02:00+09:00,Assist 4,-,French,-,French: Assist 4회,-,-,1,No,Min. Semi-Pro,Coin Boost / 82+ Rare Gold Player Pack,Assist 4 goals in Squad Battles on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events/Rush) using a French player.,https://www.fut.gg/objectives/campaigns/884-silver-tots-hm-valentin-atangana/
,No,O003-03,Squad Battles / Rivals / Champions / Live Events,Silver TOTS HM Valentin Atangana - EA SPORTS FC 26 Objectives,Expires in 6 days,5/14 02:00,2026-05-14T02:00+09:00,Win 2,ROSHN Saudi League ≥1,-,-,-,-,Win 2,2,No,Min. Semi-Pro,82+ Rare Gold Player Pack,Win 2 matches in Squad Battles on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events/Rush) while having Min. 1 player from the ROSHN Saudi League in your starting 11.,https://www.fut.gg/objectives/campaigns/884-silver-tots-hm-valentin-atangana/
,No,O005-01,Rush,Weekly Rush Points - EA SPORTS FC 26 Objectives,Expires in 4 days,5/12 02:00,2026-05-12T02:00+09:00,Weekly Rush Points - EA SPORTS FC 26 Objectives,-,-,-,-,-,-,1,No,,88+ Rare Gold Player Pack,Complete Rush Bonuses alongside your teammates to earn Rush Points!,https://www.fut.gg/objectives/campaigns/791-weekly-rush-points/
,No,O005-02,Rush,Weekly Rush Points - EA SPORTS FC 26 Objectives,Expires in 4 days,5/12 02:00,2026-05-12T02:00+09:00,"2,500 Rush Points",-,-,-,-,-,-,1,No,,3X 83+ Rare Gold Players Pack / 5X 81+ Rare Gold Players Pack,"Earn 2,500 points by completing bonuses in Rush.",https://www.fut.gg/objectives/campaigns/791-weekly-rush-points/
,No,O005-03,Rush,Weekly Rush Points - EA SPORTS FC 26 Objectives,Expires in 4 days,5/12 02:00,2026-05-12T02:00+09:00,"10,000 Rush Points",-,-,-,-,-,-,1,No,,5X 81+ Rare Gold Players Pack / 2X 84+ Rare Gold Players Pack,"Earn 10,000 points by completing bonuses in Rush.",https://www.fut.gg/objectives/campaigns/791-weekly-rush-points/
,No,O005-04,Rush,Weekly Rush Points - EA SPORTS FC 26 Objectives,Expires in 4 days,5/12 02:00,2026-05-12T02:00+09:00,"25,000 Rush Points",-,-,-,-,-,-,1,No,,2X 84+ Rare Gold Players Pack / 86+ Rare Gold Player Pack,"Earn 25,000 points by completing bonuses in Rush.",https://www.fut.gg/objectives/campaigns/791-weekly-rush-points/
,No,O005-05,Rush,Weekly Rush Points - EA SPORTS FC 26 Objectives,Expires in 4 days,5/12 02:00,2026-05-12T02:00+09:00,"35,000 Rush Points",-,-,-,-,-,-,1,No,,86+ Rare Gold Player Pack / 3X 84+ Rare Gold Players Pack,"Earn 35,000 points by completing bonuses in Rush.",https://www.fut.gg/objectives/campaigns/791-weekly-rush-points/
,No,O005-06,Rush,Weekly Rush Points - EA SPORTS FC 26 Objectives,Expires in 4 days,5/12 02:00,2026-05-12T02:00+09:00,"45,000 Rush Points",-,-,-,-,-,-,1,No,,3X 84+ Rare Gold Players Pack,"Earn 45,000 points by completing bonuses in Rush.",https://www.fut.gg/objectives/campaigns/791-weekly-rush-points/
,No,O006-01,Squad Battles,A Few of my Favourite Things - EA SPORTS FC 26 Objectives,Expires in 21 days,5/29 02:00,2026-05-29T02:00+09:00,4 Objectives,-,-,-,-,-,Play 5,5,No,,,Play 5 Squad Battles,https://www.fut.gg/objectives/campaigns/866-a-few-of-my-favourite-things/
,No,O006-02,Squad Battles,A Few of my Favourite Things - EA SPORTS FC 26 Objectives,Expires in 21 days,5/29 02:00,2026-05-29T02:00+09:00,Play 5 Squad Battles,-,-,-,-,-,Play 5,5,No,Min. Semi-Pro,,Play 5 Squad Battles matches on Min. Semi-Pro difficulty.,https://www.fut.gg/objectives/campaigns/866-a-few-of-my-favourite-things/
,No,O006-03,Live Events,A Few of my Favourite Things - EA SPORTS FC 26 Objectives,Expires in 21 days,5/29 02:00,2026-05-29T02:00+09:00,Isaak Touré,-,-,-,-,-,Play 5,5,No,,,Play 5 Live Events,https://www.fut.gg/objectives/campaigns/866-a-few-of-my-favourite-things/
,No,O006-04,Live Events / Any Ultimate Team mode,A Few of my Favourite Things - EA SPORTS FC 26 Objectives,Expires in 21 days,5/29 02:00,2026-05-29T02:00+09:00,Play 5 Live Events,-,-,-,-,-,Play 5,5,No,,,Play 5 matches in any Ultimate Team Live Event.,https://www.fut.gg/objectives/campaigns/866-a-few-of-my-favourite-things/
,No,O006-05,Rush,A Few of my Favourite Things - EA SPORTS FC 26 Objectives,Expires in 21 days,5/29 02:00,2026-05-29T02:00+09:00,Lionel Messi,-,-,-,-,-,Play 5,5,No,,,Play 5 Rush,https://www.fut.gg/objectives/campaigns/866-a-few-of-my-favourite-things/
,No,O006-06,Rush,A Few of my Favourite Things - EA SPORTS FC 26 Objectives,Expires in 21 days,5/29 02:00,2026-05-29T02:00+09:00,Play 5 Rush,-,-,-,-,-,Play 5,5,No,,,Play 5 Ultimate Team Rush matches.,https://www.fut.gg/objectives/campaigns/866-a-few-of-my-favourite-things/
,No,O006-07,Rivals,A Few of my Favourite Things - EA SPORTS FC 26 Objectives,Expires in 21 days,5/29 02:00,2026-05-29T02:00+09:00,Micky van de Ven,-,-,-,-,-,Play 5,5,No,,,Play 5 Rivals,https://www.fut.gg/objectives/campaigns/866-a-few-of-my-favourite-things/
,No,O006-08,Rivals,A Few of my Favourite Things - EA SPORTS FC 26 Objectives,Expires in 21 days,5/29 02:00,2026-05-29T02:00+09:00,Play 5 Rivals,-,-,-,-,-,Play 5,5,No,,,Play 5 matches in Rivals.,https://www.fut.gg/objectives/campaigns/866-a-few-of-my-favourite-things/
,No,O007-01,Unspecified / Check Raw,Darwin Cup - EA SPORTS FC 26 Objectives,Expires in 3 days,5/11 02:00,2026-05-11T02:00+09:00,Play 10,-,-,-,-,-,Play 10,10,No,,250 SP / 20X 83+ Rare Gold Players Pack / Win the Quarterfinals of the Darwin Cup to earn an EVO consumable. All EVO details can be previewed.,Play 10 matches in the Darwin Cup.,https://www.fut.gg/objectives/live-events/875-darwin-cup/
,No,O007-02,Unspecified / Check Raw,Darwin Cup - EA SPORTS FC 26 Objectives,Expires in 3 days,5/11 02:00,2026-05-11T02:00+09:00,Score in 6,-,-,-,-,원문 확인: Score a Finesse Goal in 6 separate matches in the Darwin Cup.,-,1,Yes,,20X 83+ Rare Gold Players Pack / Win the Quarterfinals of the Darwin Cup to earn an EVO consumable. All EVO details can be previewed. / Evo Unlock,Score a Finesse Goal in 6 separate matches in the Darwin Cup.,https://www.fut.gg/objectives/live-events/875-darwin-cup/
,No,O008-01,Squad Battles / Rivals / Champions / Live Events,TOTS HM Musab Al-Juwair - EA SPORTS FC 26 Objectives,Expires in 3 days,5/11 02:00,2026-05-11T02:00+09:00,Play 6,Saudi Arabia ≥1,-,-,-,-,Play 6,6,No,Min. Semi-Pro,100 SP / Evo Unlock,Play 6 matches in Squad Battles on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events) while having min. 1 player from Saudi Arabia in your starting 11.,https://www.fut.gg/objectives/campaigns/876-tots-hm-musab-al-juwair/
,No,O008-02,Squad Battles / Rivals / Champions / Live Events,TOTS HM Musab Al-Juwair - EA SPORTS FC 26 Objectives,Expires in 3 days,5/11 02:00,2026-05-11T02:00+09:00,Assist 4,-,Midfielder,-,Midfielder: Assist 4회,-,-,1,No,Min. Semi-Pro,Evo Unlock / 82+ Rare Gold Player Pack,Assist 4 goals in Squad Battles on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events) using a Midfielder (CDM/CM/CAM/LM/RM main position).,https://www.fut.gg/objectives/campaigns/876-tots-hm-musab-al-juwair/
,No,O008-03,Squad Battles / Rivals / Champions / Live Events,TOTS HM Musab Al-Juwair - EA SPORTS FC 26 Objectives,Expires in 3 days,5/11 02:00,2026-05-11T02:00+09:00,Keep It Tight,ROSHN Saudi Pro League ≥1,-,-,-,-,-,1,Yes,Min. Semi-Pro,82+ Rare Gold Player Pack / 82+ Rare Gold Player Pack,Concede 1 goal or less in 3 separate Squad Battles matches on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events) while having min. 1 player from the ROSHN Saudi Pro League in your starting 11.,https://www.fut.gg/objectives/campaigns/876-tots-hm-musab-al-juwair/
,No,O008-04,Squad Battles / Rivals / Champions / Live Events,TOTS HM Musab Al-Juwair - EA SPORTS FC 26 Objectives,Expires in 3 days,5/11 02:00,2026-05-11T02:00+09:00,Win 6,Saudi Arabia ≥2,-,-,-,-,Win 6,6,No,Min. Semi-Pro,82+ Rare Gold Player Pack / Coin Boost,Win 6 matches in Squad Battles on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events) while having min. 2 players from Saudi Arabia in your starting 11.,https://www.fut.gg/objectives/campaigns/876-tots-hm-musab-al-juwair/
,No,O008-05,Squad Battles / Rivals / Champions / Live Events,TOTS HM Musab Al-Juwair - EA SPORTS FC 26 Objectives,Expires in 3 days,5/11 02:00,2026-05-11T02:00+09:00,Score 10,-,Saudi Arabia,Saudi Arabia: Goal 10회,-,-,-,1,No,Min. Semi-Pro,Coin Boost,Score 10 goals in Squad Battles on Min. Semi-Pro difficulty on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events/Rush) using a player from Saudi Arabia.,https://www.fut.gg/objectives/campaigns/876-tots-hm-musab-al-juwair/
,No,O009-01,Squad Battles / Rivals / Champions / Live Events,Silver TOTS HM Ilyas Ansah - EA SPORTS FC 26 Objectives,Expires in 2 days,5/10 02:00,2026-05-10T02:00+09:00,Win 2,Bundesliga ≥1,-,-,-,-,Win 2,2,No,Min. Semi-Pro,82+ Rare Gold Player Pack / Coin Boost,Win 2 matches in Squad Battles on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events/Rush) while having Min. 1 player from the Bundesliga in your starting 11.,https://www.fut.gg/objectives/campaigns/865-silver-tots-hm-ilyas-ansah/
,No,O009-02,Squad Battles / Rivals / Champions / Live Events,Silver TOTS HM Ilyas Ansah - EA SPORTS FC 26 Objectives,Expires in 2 days,5/10 02:00,2026-05-10T02:00+09:00,Score in 2,-,Germany,Germany: 2경기 각 Goal 1회,-,-,-,2,Yes,Min. Semi-Pro,Coin Boost / 100 SP,Score at least 1 goal in 2 separate Squad Battles matches on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events/Rush) using a German player.,https://www.fut.gg/objectives/campaigns/865-silver-tots-hm-ilyas-ansah/
,No,O009-03,Any Ultimate Team mode,Silver TOTS HM Ilyas Ansah - EA SPORTS FC 26 Objectives,Expires in 2 days,5/10 02:00,2026-05-10T02:00+09:00,Play 2,Bundesliga ≥1,-,-,-,-,Play 2,2,No,,100 SP,Play 2 matches in any Ultimate Team Game mode while having Min. 1 player from Bundesliga in your starting 11.,https://www.fut.gg/objectives/campaigns/865-silver-tots-hm-ilyas-ansah/
,No,O010-01,Squad Battles / Rivals / Champions / Live Events,TOTS HM Sebastián Coates - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,Score in 5,-,CONMEBOL Libertadores,CONMEBOL Libertadores: 5경기 각 Goal 1회,-,-,-,5,Yes,Min. Semi-Pro,Coin Boost / 82+ Rare Gold Player Pack,Score 1 goal in 5 separate Squad Battles matches on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events) using a player from CONMEBOL Libertadores.,https://www.fut.gg/objectives/campaigns/858-tots-hm-sebastian-coates/
,No,O010-02,Squad Battles / Rivals / Champions / Live Events,TOTS HM Sebastián Coates - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,Win 7,Uruguay ≥2,-,-,-,-,Win 7,7,No,Min. Semi-Pro,82+ Rare Gold Player Pack / 82+ Rare Gold Player Pack,Win 7 matches in Squad Battles on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events) while having min. 2 players from Uruguay in your starting 11.,https://www.fut.gg/objectives/campaigns/858-tots-hm-sebastian-coates/
,No,O010-03,Squad Battles / Rivals / Champions / Live Events,TOTS HM Sebastián Coates - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,4 Clean sheets,CONMEBOL Libertadores ≥1,-,-,-,Clean Sheet 4,-,4,No,Min. Semi-Pro,82+ Rare Gold Player Pack / Evo Unlock,Keep 4 clean sheets in Squad Battles on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events) while having min. 1 player from CONMEBOL Libertadores in your starting 11.,https://www.fut.gg/objectives/campaigns/858-tots-hm-sebastian-coates/
,No,O010-04,Squad Battles / Rivals / Champions / Live Events,TOTS HM Sebastián Coates - EA SPORTS FC 26 Objectives,Expires in 8 hours,5/8 10:00,2026-05-08T10:00+09:00,Assist 4,-,Defender,-,Defender: Assist 4회,-,-,1,No,Min. Semi-Pro,Evo Unlock / 100 SP,Assist 4 goals in Squad Battles on Min. Semi-Pro difficulty (or Rivals/Champions/Live Events) using a Defender (Preferred Position).,https://www.fut.gg/objectives/campaigns/858-tots-hm-sebastian-coates/
